settlement_id,payment_id,order_id,settlement_date,amount,fee,tax,currency,utr
setl_0052,pay_0052,order_0052,2026-07-04,61018.17,1249.86,224.97,INR,UTR7769777475
setl_0053,pay_0053,order_0053,2026-06-27,12559.43,257.26,46.31,INR,UTR8763140509
setl_0054,pay_0054,order_0054,2026-07-27,53099.56,1087.66,195.78,INR,UTR7146318035
setl_0055,pay_0055,order_0055,2026-06-15,8244.72,168.88,30.4,INR,UTR4131356954
setl_0056,pay_0056,order_0056,2026-07-04,22446.36,512.24,92.2,INR,UTR4700855390
setl_0057,pay_0057,order_0057,2026-07-27,23970.62,491.0,88.38,INR,UTR2926780541
setl_0058,pay_0058,order_0058,2026-07-04,10135.03,207.6,37.37,INR,UTR6491309593
setl_0059,pay_0059,order_0059,2026-06-09,83947.94,1719.54,309.52,INR,UTR3363629219
setl_0060,pay_0060,order_0060,2026-06-14,96928.2,1985.42,357.38,INR,UTR4590711152
setl_0061,pay_0061,order_0061,2026-06-24,52500.05,1075.38,193.57,INR,UTR4645120421
setl_0062,pay_0062,order_0062,2026-06-30,51812.67,1061.3,191.03,INR,UTR7380780055
setl_0063,pay_0063,order_0063,2026-06-24,48987.94,1003.44,180.62,INR,UTR4875962612
setl_0064,pay_0064,order_0064,2026-07-31,36993.84,757.76,136.4,INR,UTR6971815972
setl_0065,pay_0065,order_0065,2026-06-22,24790.8,507.8,91.4,INR,UTR8380507338
setl_0066,pay_0066,order_0066,2026-06-10,74610.63,1528.28,275.09,INR,UTR2274350418
setl_0067,pay_0067,order_0067,2026-07-13,7803.39,159.84,28.77,INR,UTR9851745355
setl_0068,pay_0068,order_0068,2026-08-03,64841.75,1328.18,239.07,INR,UTR9805294274
setl_0069,pay_0069,order_0069,2026-06-10,65479.34,1341.24,241.42,INR,UTR3281169403
setl_0070,pay_0070,order_0070,2026-06-11,86900.58,1780.02,320.4,INR,UTR1798112150
setl_0071,pay_0071,order_0071,2026-07-24,15830.37,324.26,58.37,INR,UTR4701485292
setl_0072,pay_0072,order_0072,2026-08-16,76573.19,1568.48,282.33,INR,UTR3446737272
setl_0073,pay_0073,order_0073,2026-06-13,54139.43,1108.96,199.61,INR,UTR9760623742
setl_0074,pay_0074,order_0074,2026-07-13,31034.87,635.7,114.43,INR,UTR2119980130
setl_0075,pay_0075,order_0075,2026-06-19,86449.48,1770.78,318.74,INR,UTR6435772945
setl_0076,pay_0076,order_0076,2026-07-31,40951.19,838.82,150.99,INR,UTR8067372072
setl_0077,pay_0077,order_0077,2026-06-04,59138.6,1211.36,218.04,INR,UTR5018948187
setl_0078,pay_0078,order_0078,2026-08-10,27766.86,568.76,102.38,INR,UTR1429416213
setl_0079,pay_0079,order_0079,2026-06-19,45153.62,924.9,166.48,INR,UTR7467725516
setl_0080,pay_0080,order_0080,2026-07-04,47779.16,978.68,176.16,INR,UTR4783282817
setl_0081,pay_0081,order_0081,2026-07-29,70007.88,1434.0,258.12,INR,UTR2224011538
setl_0082,pay_0082,order_0082,2026-08-09,1489.01,30.5,5.49,INR,UTR8316648259
setl_0083,pay_0083,order_0083,2026-06-16,17673.82,362.02,65.16,INR,UTR7676965974
setl_0084,pay_0084,order_0084,2026-06-16,95501.68,1956.2,352.12,INR,UTR2135872495
setl_0085,pay_0085,order_0085,2026-07-07,36546.65,748.6,134.75,INR,UTR3376077463
setl_0086,pay_0086,order_0086,2026-07-16,26543.43,543.7,97.87,INR,UTR3597724331
setl_0087,pay_0087,order_0087,2026-08-06,63009.04,1290.64,232.32,INR,UTR8958199946
setl_0088,pay_0088,order_0088,2026-07-27,35897.35,735.3,132.35,INR,UTR1218179599
setl_0089,pay_0089,order_0089,2026-07-15,17229.55,352.92,63.53,INR,UTR1189351213
setl_0090,pay_0090,order_0090,2026-07-29,71090.71,1456.18,262.11,INR,UTR2125089309
setl_0091,pay_0091,order_0091,2026-08-13,1725.3,35.34,6.36,INR,UTR8325785916
setl_0092,pay_0092,order_0092,2026-06-22,70311.54,1440.22,259.24,INR,UTR1480494664
setl_0093,pay_0093,order_0093,2026-07-28,16797.99,344.08,61.93,INR,UTR3373077218
setl_0094,pay_0094,order_0094,2026-07-19,5593.8,114.58,20.62,INR,UTR5474620894
setl_0095,pay_0095,order_0095,2026-06-29,87777.38,1797.98,323.64,INR,UTR9155819200
setl_0096,pay_0096,order_0096,2026-08-13,52495.17,1075.28,193.55,INR,UTR5736462531
setl_0097,pay_0097,order_0097,2026-07-03,21284.54,435.98,78.48,INR,UTR4218981849
setl_0098,pay_0098,order_0098,2026-07-25,3659.55,74.96,13.49,INR,UTR4482238042
setl_0099,pay_0099,order_0099,2026-07-25,86221.98,1766.12,317.9,INR,UTR9265609985
setl_0100,pay_0100,order_0100,2026-07-07,20861.76,427.32,76.92,INR,UTR4482141802
setl_0101,pay_0101,order_0101,2026-06-07,60726.22,1243.88,223.9,INR,UTR5759234471
setl_0102,pay_0102,order_0102,2026-07-31,45236.61,926.6,166.79,INR,UTR1955345537
setl_0103,pay_0103,order_0103,2026-06-06,84957.54,1740.22,313.24,INR,UTR1977515194
setl_0104,pay_0104,order_0104,2026-07-15,36143.4,740.34,133.26,INR,UTR6124453431
setl_0105,pay_0105,order_0105,2026-07-08,45427.01,930.5,167.49,INR,UTR4712367625
setl_0106,pay_0106,order_0106,2026-06-06,15249.42,312.36,56.22,INR,UTR7597996327
setl_0107,pay_0107,order_0107,2026-08-16,34462.04,705.9,127.06,INR,UTR2121910732
setl_0108,pay_0108,order_0108,2026-07-28,44727.91,916.18,164.91,INR,UTR1164313410
setl_0109,pay_0109,order_0109,2026-08-07,15287.49,313.14,56.37,INR,UTR6642201119
setl_0110,pay_0110,order_0110,2026-07-05,6167.92,126.34,22.74,INR,UTR3476426797
setl_0111,pay_0111,order_0111,2026-06-03,67025.95,1372.92,247.13,INR,UTR8339176912
setl_0112,pay_0112,order_0112,2026-07-19,55685.07,1140.62,205.31,INR,UTR3880327491
setl_0113,pay_0113,order_0113,2026-07-11,65388.53,1339.38,241.09,INR,UTR4642197907
setl_0114,pay_0114,order_0114,2026-07-24,89715.54,1837.68,330.78,INR,UTR7049001493
setl_0115,pay_0115,order_0115,2026-07-26,85584.39,1753.06,315.55,INR,UTR1546696950
setl_0116,pay_0116,order_0116,2026-06-25,79260.25,1623.52,292.23,INR,UTR9333798503
setl_0117,pay_0117,order_0117,2026-07-24,70612.27,1446.38,260.35,INR,UTR7739255769
setl_0118,pay_0118,order_0118,2026-07-11,37206.7,762.12,137.18,INR,UTR4580822352
setl_0119,pay_0119,order_0119,2026-08-16,78127.62,1600.32,288.06,INR,UTR6197695041
setl_0120,pay_0120,order_0120,2026-08-01,57026.64,1168.1,210.26,INR,UTR8106906538
setl_0121,pay_0121,order_0121,2026-08-07,85446.72,1750.24,315.04,INR,UTR5659161352
setl_0122,pay_0122,order_0122,2026-07-03,86591.06,1773.68,319.26,INR,UTR2439622619
setl_0123,pay_0123,order_0123,2026-06-28,19345.41,396.26,71.33,INR,UTR2333241445
setl_0124,pay_0124,order_0124,2026-07-04,61295.46,1255.54,226.0,INR,UTR1104906255
setl_0125,pay_0125,order_0125,2026-07-31,53527.22,1096.42,197.36,INR,UTR4300636585
setl_0126,pay_0126,order_0126,2026-07-22,63757.94,1305.98,235.08,INR,UTR3472487690
setl_0127,pay_0127,order_0127,2026-06-21,67150.84,1729.8,311.36,INR,UTR2716495971
setl_0128,pay_0128,order_0128,2026-06-16,54897.11,1124.48,202.41,INR,UTR3953315788
setl_0129,pay_0129,order_0129,2026-08-08,59940.22,1227.78,221.0,INR,UTR1939915527
setl_0130,pay_0130,order_0130,2026-07-04,16018.82,328.12,59.06,INR,UTR9805620900
setl_0131,pay_0131,order_0131,2026-08-01,85923.2,1760.0,316.8,INR,UTR2960488639
setl_0132,pay_0132,order_0132,2026-07-30,33658.46,689.44,124.1,INR,UTR8995059760
setl_0133,pay_0133,order_0133,2026-07-08,67202.68,1376.54,247.78,INR,UTR4228856718
setl_0134,pay_0134,order_0134,2026-07-29,10403.54,213.1,38.36,INR,UTR6322520473
setl_0135,pay_0135,order_0135,2026-07-03,35261.71,722.28,130.01,INR,UTR8359619163
setl_0136,pay_0136,order_0136,2026-08-11,10799.96,221.22,39.82,INR,UTR6737421496
setl_0137,pay_0137,order_0137,2026-07-02,49508.36,1014.1,182.54,INR,UTR1594312071
setl_0138,pay_0138,order_0138,2026-06-30,8707.54,178.36,32.1,INR,UTR3980491761
setl_0139,pay_0139,order_0139,2026-07-15,69930.74,1432.42,257.84,INR,UTR7076811348
setl_0140,pay_0140,order_0140,2026-06-10,26958.4,552.2,99.4,INR,UTR7296096954
setl_0141,pay_0141,order_0141,2026-07-22,75237.48,1541.12,277.4,INR,UTR8872207630
setl_0142,pay_0142,order_0142,2026-08-03,1241.98,25.44,4.58,INR,UTR7767538527
setl_0143,pay_0143,order_0143,2026-07-11,96916.49,1985.18,357.33,INR,UTR9344011888
setl_0144,pay_0144,order_0144,2026-08-10,96153.92,1969.56,354.52,INR,UTR8884394611
setl_0145,pay_0145,order_0145,2026-08-04,28569.46,585.2,105.34,INR,UTR4856070374
setl_0146,pay_0146,order_0146,2026-08-04,4202.43,86.08,15.49,INR,UTR6467215542
setl_0147,pay_0147,order_0147,2026-07-24,83625.21,1908.38,343.51,INR,UTR6965096268
setl_0148,pay_0148,order_0148,2026-07-27,17854.45,365.72,65.83,INR,UTR1116402431
setl_0149,pay_0149,order_0149,2026-06-26,6922.68,141.8,25.52,INR,UTR9018065507
setl_0150,pay_0150,order_0150,2026-07-14,27575.49,564.84,101.67,INR,UTR6412330148
setl_0151,pay_0151,order_0151,2026-07-16,49007.47,1003.84,180.69,INR,UTR7247886041
setl_0152,pay_0152,order_0152,2026-06-13,60677.4,1242.88,223.72,INR,UTR7105574449
setl_0153,pay_0153,order_0153,2026-08-11,7153.11,146.52,26.37,INR,UTR9673185158
setl_0154,pay_0154,order_0154,2026-06-11,83898.15,1718.52,309.33,INR,UTR2503068227
setl_0155,pay_0155,order_0155,2026-06-05,80005.24,1638.78,294.98,INR,UTR2062073697
setl_0156,pay_0156,order_0156,2026-06-19,61093.35,1251.4,225.25,INR,UTR1654477195
setl_0157,pay_0157,order_0157,2026-08-14,28382.97,581.38,104.65,INR,UTR3875303857
setl_0158,pay_0158,order_0158,2026-06-17,21446.63,439.3,79.07,INR,UTR2584392711
setl_0159,pay_0159,order_0159,2026-06-16,74547.16,1526.98,274.86,INR,UTR9438411468
setl_0160,pay_0160,order_0160,2026-07-23,91994.46,1884.36,339.18,INR,UTR9410288290
setl_0161,pay_0161,order_0161,2026-08-17,88871.93,1820.4,327.67,INR,UTR1851819913
setl_0162,pay_0162,order_0162,2026-07-11,88058.59,1803.74,324.67,INR,UTR2043030161
setl_0163,pay_0163,order_0163,2026-07-17,68667.28,1406.54,253.18,INR,UTR4361393222
setl_0164,pay_0164,order_0164,2026-08-06,83359.17,1707.48,307.35,INR,UTR2591589823
setl_0165,pay_0165,order_0165,2026-07-26,53510.23,1295.02,233.1,INR,UTR2465576748
setl_0166,pay_0166,order_0166,2026-07-19,81829.15,1676.14,301.71,INR,UTR5748253283
setl_0167,pay_0167,order_0167,2026-06-25,94398.35,1933.6,348.05,INR,UTR5952059278
setl_0168,pay_0168,order_0168,2026-08-10,43203.02,1277.44,229.94,INR,UTR8088660633
setl_0169,pay_0169,order_0169,2026-08-17,34836.98,713.58,128.44,INR,UTR7291584955
setl_0170,pay_0170,order_0170,2026-07-08,58180.75,1191.74,214.51,INR,UTR5014170428
setl_0171,pay_0171,order_0171,2026-06-06,44161.48,1305.78,235.04,INR,UTR6922713963
setl_0172,pay_0172,order_0172,2026-06-26,62884.07,1288.08,231.85,INR,UTR8949781901
setl_0173,pay_0173,order_0173,2026-07-06,35021.85,902.16,162.39,INR,UTR6206015111
setl_0174,pay_0174,order_0174,2026-08-13,1786.81,36.6,6.59,INR,UTR9074999565
setl_0175,pay_0175,order_0175,2026-07-03,92641.81,1897.62,341.57,INR,UTR1820581106
setl_0176,pay_0176,order_0176,2026-08-13,97516.97,1997.48,359.55,INR,UTR7040562787
setl_0177,pay_0177,order_0177,2026-07-30,2694.86,55.2,9.94,INR,UTR8352307139
setl_0178,pay_0178,order_0178,2026-07-01,52242.28,1070.1,192.62,INR,UTR5694628398
setl_0179,pay_0179,order_0179,2026-07-12,85460.39,1750.52,315.09,INR,UTR3971203213
setl_0180,pay_0180,order_0180,2026-08-02,71320.16,1460.88,262.96,INR,UTR7792729530
setl_0181,pay_0181,order_0181,2026-07-27,95951.8,1965.42,353.78,INR,UTR7575259637
setl_0182,pay_0182,order_0182,2026-07-18,90438.07,1852.48,333.45,INR,UTR7658867789
setl_0183,pay_0183,order_0183,2026-07-12,32661.56,669.02,120.42,INR,UTR7243788374
setl_0184,pay_0184,order_0184,2026-06-27,34592.28,837.18,150.69,INR,UTR1990153355
setl_0185,pay_0185,order_0185,2026-06-30,95013.48,1946.2,350.32,INR,UTR1795212538
setl_0186,pay_0186,order_0186,2026-08-17,67630.35,1385.3,249.35,INR,UTR7374584386
setl_0187,pay_0187,order_0187,2026-06-15,25330.75,518.86,93.39,INR,UTR7858164010
setl_0188,pay_0188,order_0188,2026-07-19,23452.15,480.38,86.47,INR,UTR2272368870
setl_0189,pay_0189,order_0189,2026-08-10,14978.55,341.82,61.53,INR,UTR2298229437
setl_0190,pay_0190,order_0190,2026-06-09,71305.52,1460.58,262.9,INR,UTR2178158203
setl_0191,pay_0191,order_0191,2026-08-04,13616.87,278.92,50.21,INR,UTR5054834021
setl_0192,pay_0192,order_0192,2026-08-15,36876.68,755.36,135.96,INR,UTR4748302739
setl_0193,pay_0193,order_0193,2026-07-29,44091.29,903.14,162.57,INR,UTR7311011808
setl_0194,pay_0194,order_0194,2026-08-03,15088.31,309.06,55.63,INR,UTR5515628633
setl_0195,pay_0195,order_0195,2026-07-24,63421.09,1299.08,233.83,INR,UTR4530959836
setl_0196,pay_0196,order_0196,2026-06-09,19905.87,407.74,73.39,INR,UTR9908115095
setl_0197,pay_0197,order_0197,2026-07-04,15646.81,320.5,57.69,INR,UTR2304963614
setl_0198,pay_0198,order_0198,2026-08-08,49167.6,1007.12,181.28,INR,UTR3656086594
setl_0199,pay_0199,order_0199,2026-08-17,55368.71,1134.14,204.15,INR,UTR7196439534
setl_0200,pay_0200,order_0200,2026-06-15,27080.45,554.7,99.85,INR,UTR3667292043
setl_0201,pay_0201,order_0201,2026-07-06,85008.31,1741.26,313.43,INR,UTR3686566602
setl_0202,pay_0202,order_0202,2026-07-03,22732.54,465.64,83.82,INR,UTR1348697524
setl_0203,pay_0203,order_0203,2026-06-23,829.94,17.0,3.06,INR,UTR3370788647
setl_0204,pay_0204,order_0204,2026-08-02,37762.27,773.5,139.23,INR,UTR7049536909
setl_0205,pay_0205,order_0205,2026-07-09,90963.38,1863.24,335.38,INR,UTR1140187131
setl_0206,pay_0206,order_0206,2026-06-12,88457.93,1811.92,326.15,INR,UTR8986950095
setl_0207,pay_0207,order_0207,2026-06-17,70179.73,1437.52,258.75,INR,UTR6144594354
setl_0208,pay_0208,order_0208,2026-06-10,21721.97,444.94,80.09,INR,UTR1610900200
setl_0209,pay_0209,order_0209,2026-08-14,37423.46,766.56,137.98,INR,UTR8699281063
setl_0210,pay_0210,order_0210,2026-08-01,88623.92,1815.32,326.76,INR,UTR2886149718
setl_0211,pay_0211,order_0211,2026-07-29,10782.39,220.86,39.75,INR,UTR7614170462
setl_0212,pay_0212,order_0212,2026-07-28,94492.09,1935.52,348.39,INR,UTR3568547910
setl_0213,pay_0213,order_0213,2026-06-14,20633.58,610.1,109.82,INR,UTR2075321966
setl_0214,pay_0214,order_0214,2026-07-07,74234.72,1520.58,273.7,INR,UTR5083595988
setl_0215,pay_0215,order_0215,2026-08-02,66903.9,1370.42,246.68,INR,UTR4248149900
setl_0216,pay_0216,order_0216,2026-07-08,23714.8,485.76,87.44,INR,UTR8093179263
setl_0217,pay_0217,order_0217,2026-06-14,54428.82,1242.1,223.58,INR,UTR8792122716
setl_0218,pay_0218,order_0218,2026-07-15,41576.09,851.62,153.29,INR,UTR6789448659
setl_0219,pay_0219,order_0219,2026-06-23,42696.02,874.56,157.42,INR,UTR3878201524
setl_0220,pay_0220,order_0220,2026-07-24,70888.59,1452.04,261.37,INR,UTR7422990551
setl_orphan_0001,pay_orphan_0001,order_orphan_0001,2026-06-17,5321.72,0.0,0.0,INR,UTR5226368665
setl_orphan_0002,pay_orphan_0002,order_orphan_0002,2026-06-15,6288.46,0.0,0.0,INR,UTR4429590757
setl_orphan_0003,pay_orphan_0003,order_orphan_0003,2026-06-02,3865.94,0.0,0.0,INR,UTR1110724913
setl_orphan_0004,pay_orphan_0004,order_orphan_0004,2026-08-15,3590.17,0.0,0.0,INR,UTR4386287675
setl_orphan_0005,pay_orphan_0005,order_orphan_0005,2026-06-07,2014.07,0.0,0.0,INR,UTR6043349038
setl_orphan_0006,pay_orphan_0006,order_orphan_0006,2026-07-28,7224.14,0.0,0.0,INR,UTR5567946981
