order_id,payment_id,order_date,gross_amount,currency,refund_amount,expected_settlement
order_0033,pay_0033,2026-06-15,89853,INR,0.0,87732.47
order_0034,pay_0034,2026-07-14,15121,INR,0.0,14764.14
order_0035,pay_0035,2026-06-21,59970,INR,0.0,58554.71
order_0036,pay_0036,2026-08-04,23916,INR,0.0,23351.58
order_0037,pay_0037,2026-08-04,80318,INR,16063.6,62358.9
order_0038,pay_0038,2026-07-18,21674,INR,0.0,21162.49
order_0039,pay_0039,2026-07-12,64542,INR,0.0,63018.81
order_0040,pay_0040,2026-07-17,40806,INR,0.0,39842.98
order_0041,pay_0041,2026-07-01,74864,INR,0.0,73097.21
order_0042,pay_0042,2026-06-11,96432,INR,0.0,94156.2
order_0043,pay_0043,2026-06-17,86974,INR,0.0,84921.41
order_0044,pay_0044,2026-07-04,69663,INR,0.0,68018.95
order_0045,pay_0045,2026-07-18,57922,INR,0.0,56555.04
order_0046,pay_0046,2026-07-02,29951,INR,0.0,29244.16
order_0047,pay_0047,2026-06-03,77610,INR,0.0,75778.4
order_0048,pay_0048,2026-08-15,29364,INR,0.0,28671.01
order_0049,pay_0049,2026-06-08,30507,INR,0.0,29787.03
order_0050,pay_0050,2026-08-05,31695,INR,0.0,30947.0
order_0051,pay_0051,2026-08-09,17842,INR,0.0,17420.93
order_0052,pay_0052,2026-07-02,62493,INR,0.0,61018.17
order_0053,pay_0053,2026-06-25,12863,INR,0.0,12559.43
order_0054,pay_0054,2026-07-25,54383,INR,0.0,53099.56
order_0055,pay_0055,2026-06-13,8444,INR,0.0,8244.72
order_0056,pay_0056,2026-07-02,25612,INR,2561.2,22446.36
order_0057,pay_0057,2026-07-25,24550,INR,0.0,23970.62
order_0058,pay_0058,2026-07-02,10380,INR,0.0,10135.03
order_0059,pay_0059,2026-06-07,85977,INR,0.0,83947.94
order_0060,pay_0060,2026-06-12,99271,INR,0.0,96928.2
order_0061,pay_0061,2026-06-22,53769,INR,0.0,52500.05
order_0062,pay_0062,2026-06-28,53065,INR,0.0,51812.67
order_0063,pay_0063,2026-06-22,50172,INR,0.0,48987.94
order_0064,pay_0064,2026-07-29,37888,INR,0.0,36993.84
order_0065,pay_0065,2026-06-20,25390,INR,0.0,24790.8
order_0066,pay_0066,2026-06-08,76414,INR,0.0,74610.63
order_0067,pay_0067,2026-07-11,7992,INR,0.0,7803.39
order_0068,pay_0068,2026-08-01,66409,INR,0.0,64841.75
order_0069,pay_0069,2026-06-08,67062,INR,0.0,65479.34
order_0070,pay_0070,2026-06-09,89001,INR,0.0,86900.58
order_0071,pay_0071,2026-07-22,16213,INR,0.0,15830.37
order_0072,pay_0072,2026-08-14,78424,INR,0.0,76573.19
order_0073,pay_0073,2026-06-11,55448,INR,0.0,54139.43
order_0074,pay_0074,2026-07-11,31785,INR,0.0,31034.87
order_0075,pay_0075,2026-06-17,88539,INR,0.0,86449.48
order_0076,pay_0076,2026-07-29,41941,INR,0.0,40951.19
order_0077,pay_0077,2026-06-02,60568,INR,0.0,59138.6
order_0078,pay_0078,2026-08-08,28438,INR,0.0,27766.86
order_0079,pay_0079,2026-06-17,46245,INR,0.0,45153.62
order_0080,pay_0080,2026-07-02,48934,INR,0.0,47779.16
order_0081,pay_0081,2026-07-27,71700,INR,0.0,70007.88
order_0082,pay_0082,2026-08-07,1525,INR,0.0,1489.01
order_0083,pay_0083,2026-06-14,18101,INR,0.0,17673.82
order_0084,pay_0084,2026-06-14,97810,INR,0.0,95501.68
order_0085,pay_0085,2026-07-05,37430,INR,0.0,36546.65
order_0086,pay_0086,2026-07-14,27185,INR,0.0,26543.43
order_0087,pay_0087,2026-08-04,64532,INR,0.0,63009.04
order_0088,pay_0088,2026-07-25,36765,INR,0.0,35897.35
order_0089,pay_0089,2026-07-13,17646,INR,0.0,17229.55
order_0090,pay_0090,2026-07-27,72809,INR,0.0,71090.71
order_0091,pay_0091,2026-08-11,1767,INR,0.0,1725.3
order_0092,pay_0092,2026-06-20,72011,INR,0.0,70311.54
order_0093,pay_0093,2026-07-26,17204,INR,0.0,16797.99
order_0094,pay_0094,2026-07-17,5729,INR,0.0,5593.8
order_0095,pay_0095,2026-06-27,89899,INR,0.0,87777.38
order_0096,pay_0096,2026-08-11,53764,INR,0.0,52495.17
order_0097,pay_0097,2026-07-01,21799,INR,0.0,21284.54
order_0098,pay_0098,2026-07-23,3748,INR,0.0,3659.55
order_0099,pay_0099,2026-07-23,88306,INR,0.0,86221.98
order_0100,pay_0100,2026-07-05,21366,INR,0.0,20861.76
order_0101,pay_0101,2026-06-05,62194,INR,0.0,60726.22
order_0102,pay_0102,2026-07-29,46330,INR,0.0,45236.61
order_0103,pay_0103,2026-06-04,87011,INR,0.0,84957.54
order_0104,pay_0104,2026-07-13,37017,INR,0.0,36143.4
order_0105,pay_0105,2026-07-06,46525,INR,0.0,45427.01
order_0106,pay_0106,2026-06-04,15618,INR,0.0,15249.42
order_0107,pay_0107,2026-08-14,35295,INR,0.0,34462.04
order_0108,pay_0108,2026-07-26,45809,INR,0.0,44727.91
order_0109,pay_0109,2026-08-05,15657,INR,0.0,15287.49
order_0110,pay_0110,2026-07-03,6317,INR,0.0,6167.92
order_0111,pay_0111,2026-06-01,68646,INR,0.0,67025.95
order_0112,pay_0112,2026-07-17,57031,INR,0.0,55685.07
order_0113,pay_0113,2026-07-09,66969,INR,0.0,65388.53
order_0114,pay_0114,2026-07-22,91884,INR,0.0,89715.54
order_0115,pay_0115,2026-07-24,87653,INR,0.0,85584.39
order_0116,pay_0116,2026-06-23,81176,INR,0.0,79260.25
order_0117,pay_0117,2026-07-22,72319,INR,0.0,70612.27
order_0118,pay_0118,2026-07-09,38106,INR,0.0,37206.7
order_0119,pay_0119,2026-08-14,80016,INR,0.0,78127.62
order_0120,pay_0120,2026-07-30,58405,INR,0.0,57026.64
order_0121,pay_0121,2026-08-05,87512,INR,0.0,85446.72
order_0122,pay_0122,2026-07-01,88684,INR,0.0,86591.06
order_0123,pay_0123,2026-06-26,19813,INR,0.0,19345.41
order_0124,pay_0124,2026-07-02,62777,INR,0.0,61295.46
order_0125,pay_0125,2026-07-29,54821,INR,0.0,53527.22
order_0126,pay_0126,2026-07-20,65299,INR,0.0,63757.94
order_0127,pay_0127,2026-06-19,86490,INR,17298.0,67150.84
order_0128,pay_0128,2026-06-14,56224,INR,0.0,54897.11
order_0129,pay_0129,2026-08-06,61389,INR,0.0,59940.22
order_0130,pay_0130,2026-07-02,16406,INR,0.0,16018.82
order_0131,pay_0131,2026-07-30,88000,INR,0.0,85923.2
order_0132,pay_0132,2026-07-28,34472,INR,0.0,33658.46
order_0133,pay_0133,2026-07-06,68827,INR,0.0,67202.68
order_0134,pay_0134,2026-07-27,10655,INR,0.0,10403.54
order_0135,pay_0135,2026-07-01,36114,INR,0.0,35261.71
order_0136,pay_0136,2026-08-09,11061,INR,0.0,10799.96
order_0137,pay_0137,2026-06-30,50705,INR,0.0,49508.36
order_0138,pay_0138,2026-06-28,8918,INR,0.0,8707.54
order_0139,pay_0139,2026-07-13,71621,INR,0.0,69930.74
order_0140,pay_0140,2026-06-08,27610,INR,0.0,26958.4
order_0141,pay_0141,2026-07-20,77056,INR,0.0,75237.48
order_0142,pay_0142,2026-08-01,1272,INR,0.0,1241.98
order_0143,pay_0143,2026-07-09,99259,INR,0.0,96916.49
order_0144,pay_0144,2026-08-08,98478,INR,0.0,96153.92
order_0145,pay_0145,2026-08-02,29260,INR,0.0,28569.46
order_0146,pay_0146,2026-08-02,4304,INR,0.0,4202.43
order_0147,pay_0147,2026-07-22,95419,INR,9541.9,83625.21
order_0148,pay_0148,2026-07-25,18286,INR,0.0,17854.45
order_0149,pay_0149,2026-06-24,7090,INR,0.0,6922.68
order_0150,pay_0150,2026-07-12,28242,INR,0.0,27575.49
order_0151,pay_0151,2026-07-14,50192,INR,0.0,49007.47
order_0152,pay_0152,2026-06-11,62144,INR,0.0,60677.4
order_0153,pay_0153,2026-08-09,7326,INR,0.0,7153.11
order_0154,pay_0154,2026-06-09,85926,INR,0.0,83898.15
order_0155,pay_0155,2026-06-03,81939,INR,0.0,80005.24
order_0156,pay_0156,2026-06-17,62570,INR,0.0,61093.35
order_0157,pay_0157,2026-08-12,29069,INR,0.0,28382.97
order_0158,pay_0158,2026-06-15,21965,INR,0.0,21446.63
order_0159,pay_0159,2026-06-14,76349,INR,0.0,74547.16
order_0160,pay_0160,2026-07-21,94218,INR,0.0,91994.46
order_0161,pay_0161,2026-08-15,91020,INR,0.0,88871.93
order_0162,pay_0162,2026-07-09,90187,INR,0.0,88058.59
order_0163,pay_0163,2026-07-15,70327,INR,0.0,68667.28
order_0164,pay_0164,2026-08-04,85374,INR,0.0,83359.17
order_0165,pay_0165,2026-07-24,64751,INR,9712.65,53510.23
order_0166,pay_0166,2026-07-17,83807,INR,0.0,81829.15
order_0167,pay_0167,2026-06-23,96680,INR,0.0,94398.35
order_0168,pay_0168,2026-08-08,63872,INR,19161.6,43203.02
order_0169,pay_0169,2026-08-15,35679,INR,0.0,34836.98
order_0170,pay_0170,2026-07-06,59587,INR,0.0,58180.75
order_0171,pay_0171,2026-06-04,65289,INR,19586.7,44161.48
order_0172,pay_0172,2026-06-24,64404,INR,0.0,62884.07
order_0173,pay_0173,2026-07-04,45108,INR,9021.6,35021.85
order_0174,pay_0174,2026-08-11,1830,INR,0.0,1786.81
order_0175,pay_0175,2026-07-01,94881,INR,0.0,92641.81
order_0176,pay_0176,2026-08-11,99874,INR,0.0,97516.97
order_0177,pay_0177,2026-07-28,2760,INR,0.0,2694.86
order_0178,pay_0178,2026-06-29,53505,INR,0.0,52242.28
order_0179,pay_0179,2026-07-10,87526,INR,0.0,85460.39
order_0180,pay_0180,2026-07-31,73044,INR,0.0,71320.16
order_0181,pay_0181,2026-07-25,98271,INR,0.0,95951.8
order_0182,pay_0182,2026-07-16,92624,INR,0.0,90438.07
order_0183,pay_0183,2026-07-10,33451,INR,0.0,32661.56
order_0184,pay_0184,2026-06-25,41859,INR,6278.85,34592.28
order_0185,pay_0185,2026-06-28,97310,INR,0.0,95013.48
order_0186,pay_0186,2026-08-15,69265,INR,0.0,67630.35
order_0187,pay_0187,2026-06-13,25943,INR,0.0,25330.75
order_0188,pay_0188,2026-07-17,24019,INR,0.0,23452.15
order_0189,pay_0189,2026-08-08,17091,INR,1709.1,14978.55
order_0190,pay_0190,2026-06-07,73029,INR,0.0,71305.52
order_0191,pay_0191,2026-08-02,13946,INR,0.0,13616.87
order_0192,pay_0192,2026-08-13,37768,INR,0.0,36876.68
order_0193,pay_0193,2026-07-27,45157,INR,0.0,44091.29
order_0194,pay_0194,2026-08-01,15453,INR,0.0,15088.31
order_0195,pay_0195,2026-07-22,64954,INR,0.0,63421.09
order_0196,pay_0196,2026-06-07,20387,INR,0.0,19905.87
order_0197,pay_0197,2026-07-02,16025,INR,0.0,15646.81
order_0198,pay_0198,2026-08-06,50356,INR,0.0,49167.6
order_0199,pay_0199,2026-08-15,56707,INR,0.0,55368.71
order_0200,pay_0200,2026-06-13,27735,INR,0.0,27080.45
order_0201,pay_0201,2026-07-04,87063,INR,0.0,85008.31
order_0202,pay_0202,2026-07-01,23282,INR,0.0,22732.54
order_0203,pay_0203,2026-06-21,850,INR,0.0,829.94
order_0204,pay_0204,2026-07-31,38675,INR,0.0,37762.27
order_0205,pay_0205,2026-07-07,93162,INR,0.0,90963.38
order_0206,pay_0206,2026-06-10,90596,INR,0.0,88457.93
order_0207,pay_0207,2026-06-15,71876,INR,0.0,70179.73
order_0208,pay_0208,2026-06-08,22247,INR,0.0,21721.97
order_0209,pay_0209,2026-08-12,38328,INR,0.0,37423.46
order_0210,pay_0210,2026-07-30,90766,INR,0.0,88623.92
order_0211,pay_0211,2026-07-27,11043,INR,0.0,10782.39
order_0212,pay_0212,2026-07-26,96776,INR,0.0,94492.09
order_0213,pay_0213,2026-06-12,30505,INR,9151.5,20633.58
order_0214,pay_0214,2026-07-05,76029,INR,0.0,74234.72
order_0215,pay_0215,2026-07-31,68521,INR,0.0,66903.9
order_0216,pay_0216,2026-07-06,24288,INR,0.0,23714.8
order_0217,pay_0217,2026-06-12,62105,INR,6210.5,54428.82
order_0218,pay_0218,2026-07-13,42581,INR,0.0,41576.09
order_0219,pay_0219,2026-06-21,43728,INR,0.0,42696.02
order_0220,pay_0220,2026-07-22,72602,INR,0.0,70888.59
