settlement_id,bank_transaction_id,settlement_amount,bank_amount,amount_difference,amount_difference_pct,relative_amount_difference,date_difference_days,utr_match,utr_missing,utr_similarity,rrn_exact,rrn_similarity,order_id_exact,settlement_id_exact,gateway_ref_exact,auth_code_exact,customer_name_similarity,vpa_similarity,narration_similarity,currency_match,same_direction,status_compatible,candidate_count,split_candidate,fee_adjusted_difference,expected_settlement_date_gap,duplicate_risk,is_digit_transposition,label,source_type_SETTLEMENT,channel_BANK_TRANSFER
CV3001,UTR251113786540,7411.94,35331.52,27919.58,3.766838,0.790217,13,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2143,1,1,1,1,0,27919.58,13,0,0,0,1,1
CV3001,UTR668163047993,7411.94,-8685.7,16097.64,2.171852,1.85335,1,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2353,1,1,1,1,0,16097.64,1,0,0,0,1,1
CV3001,UTR398235977635,7411.94,41432.97,34021.03,4.59003,0.82111,5,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1786,1,1,1,1,0,34021.03,5,0,0,0,1,1
CV3001,UTR467567156492,7411.94,140842.09,133430.15,18.002055,0.947374,11,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2,1,1,1,1,0,133430.15,11,0,0,0,1,1
CV3001,UTR301320421069,7411.94,13333.83,5921.89,0.798966,0.444125,10,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.3636,1,1,1,1,0,5921.89,10,0,0,0,1,1
CV3001,UTR524971960828,7411.94,1484.92,5927.02,0.799658,0.799658,17,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.3158,1,1,1,1,0,5927.02,17,0,0,0,1,1
CV3001,UTR215256385481,7411.94,6873.25,538.69,0.072679,0.072679,8,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2105,1,1,1,1,0,538.69,8,0,0,0,1,1
CV3001,UTR550585953330,7411.94,176287.23,168875.29,22.784222,0.957955,13,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2,1,1,1,1,0,168875.29,13,0,0,0,1,1
CV3000,UTR218242398173,6095.3,27519.04,21423.74,3.514797,0.778506,5,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2609,1,1,1,1,0,21423.74,5,0,0,0,1,1
CV3000,UTR828067113431,6095.3,20902.0,14806.7,2.4292,0.708387,7,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.383,1,1,1,1,0,14806.7,7,0,0,0,1,1
CV3000,UTR112790183691,6095.3,2354.87,3740.43,0.613658,0.613658,21,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1333,1,1,1,1,0,3740.43,21,0,0,0,1,1
CV3000,UTR164339399508,6095.3,46728.71,40633.41,6.666351,0.86956,7,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2222,1,1,1,1,0,40633.41,7,0,0,0,1,1
CV3000,UTR897413148929,6095.3,30980.83,24885.53,4.082741,0.803256,8,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.3043,1,1,1,1,0,24885.53,8,0,0,0,1,1
CV3000,UTR251113786540,6095.3,35331.52,29236.22,4.796519,0.827483,21,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2128,1,1,1,1,0,29236.22,21,0,0,0,1,1
CV3000,UTR668163047993,6095.3,-8685.7,14781.0,2.424983,1.701763,7,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2381,1,1,1,1,0,14781.0,7,0,0,0,1,1
CV3000,UTR398235977635,6095.3,41432.97,35337.67,5.797528,0.852888,3,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2128,1,1,1,1,0,35337.67,3,0,0,0,1,1
CV3000,UTR467567156492,6095.3,140842.09,134746.79,22.106671,0.956722,19,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2745,1,1,1,1,0,134746.79,19,0,0,0,1,1
CV3000,UTR301320421069,6095.3,13333.83,7238.53,1.187559,0.54287,2,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.3043,1,1,1,1,0,7238.53,2,0,0,0,1,1
CV3000,UTR524971960828,6095.3,1484.92,4610.38,0.756383,0.756383,25,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2917,1,1,1,1,0,4610.38,25,0,0,0,1,1
CV3000,UTR215256385481,6095.3,6873.25,777.95,0.127631,0.113185,16,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2917,1,1,1,1,0,777.95,16,0,0,0,1,1
CV3000,UTR550585953330,6095.3,176287.23,170191.93,27.92183,0.965424,21,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2353,1,1,1,1,0,170191.93,21,0,0,0,1,1
CV3003,UTR218242398173,8446.11,27519.04,19072.93,2.258191,0.693081,20,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2041,1,1,1,1,0,19072.93,20,0,0,0,1,1
CV3003,UTR828067113431,8446.11,20902.0,12455.89,1.474749,0.595919,32,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.28,1,1,1,1,0,12455.89,32,0,0,0,1,1
CV3003,UTR112790183691,8446.11,2354.87,6091.24,0.721189,0.721189,4,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.125,1,1,1,1,0,6091.24,4,0,0,0,1,1
CV3003,UTR164339399508,8446.11,46728.71,38282.6,4.532572,0.819252,18,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1667,1,1,1,1,0,38282.6,18,0,0,0,1,1
CV3003,UTR897413148929,8446.11,30980.83,22534.72,2.668059,0.727376,33,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2449,1,1,1,1,0,22534.72,33,0,0,0,1,1
CV3003,UTR251113786540,8446.11,35331.52,26885.41,3.183171,0.760947,4,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.24,1,1,1,1,0,26885.41,4,0,0,0,1,1
CV3003,UTR668163047993,8446.11,-8685.7,17131.81,2.028367,1.972416,18,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1778,1,1,1,1,0,17131.81,18,0,0,0,1,1
CV3003,UTR398235977635,8446.11,41432.97,32986.86,3.905568,0.79615,22,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2,1,1,1,1,0,32986.86,22,0,0,0,1,1
CV3003,UTR467567156492,8446.11,140842.09,132395.98,15.67538,0.940031,6,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1852,1,1,1,1,0,132395.98,6,0,0,0,1,1
CV3003,UTR301320421069,8446.11,13333.83,4887.72,0.578695,0.366565,27,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2041,1,1,1,1,0,4887.72,27,0,0,0,1,1
CV3003,UTR524971960828,8446.11,1484.92,6961.19,0.824189,0.824189,0,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1176,1,1,1,1,0,6961.19,0,0,0,0,1,1
CV3003,UTR215256385481,8446.11,6873.25,1572.86,0.186223,0.186223,9,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.3137,1,1,1,1,0,1572.86,9,0,0,0,1,1
CV3003,UTR550585953330,8446.11,176287.23,167841.12,19.872003,0.952089,4,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1852,1,1,1,1,0,167841.12,4,0,0,0,1,1
CV3008,UTR218242398173,2372.71,27519.04,25146.33,10.598147,0.913779,11,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.303,1,1,1,1,0,25146.33,11,0,0,0,1,1
CV3008,UTR828067113431,2372.71,20902.0,18529.29,7.809336,0.886484,1,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.3529,1,1,1,1,0,18529.29,1,0,0,0,1,1
CV3008,UTR112790183691,2372.71,2354.87,17.84,0.007519,0.007519,27,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1875,1,1,1,1,0,17.84,27,0,0,0,1,1
CV3008,UTR164339399508,2372.71,46728.71,44356.0,18.694236,0.949224,13,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.3125,1,1,1,1,0,44356.0,13,0,0,0,1,1
CV3008,UTR897413148929,2372.71,30980.83,28608.12,12.05715,0.923414,2,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1818,1,1,1,1,0,28608.12,2,0,0,0,1,1
CV3008,UTR251113786540,2372.71,35331.52,32958.81,13.890787,0.932844,27,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2353,1,1,1,1,0,32958.81,27,0,0,0,1,1
CV3008,UTR668163047993,2372.71,-8685.7,11058.41,4.660666,1.273174,13,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.4828,1,1,1,1,0,11058.41,13,0,0,0,1,1
CV3008,UTR398235977635,2372.71,41432.97,39060.26,16.462298,0.942734,9,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1765,1,1,1,1,0,39060.26,9,0,0,0,1,1
CV3008,UTR467567156492,2372.71,140842.09,138469.38,58.359167,0.983153,25,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2632,1,1,1,1,0,138469.38,25,0,0,0,1,1
CV3008,UTR301320421069,2372.71,13333.83,10961.12,4.619663,0.822053,4,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.5455,1,1,1,1,0,10961.12,4,0,0,0,1,1
CV3008,UTR524971960828,2372.71,1484.92,887.79,0.374167,0.374167,31,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.4,1,1,1,1,0,887.79,31,0,0,0,1,1
CV3008,UTR215256385481,2372.71,6873.25,4500.54,1.896793,0.654791,22,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2286,1,1,1,1,0,4500.54,22,0,0,0,1,1
CV3008,UTR550585953330,2372.71,176287.23,173914.52,73.297841,0.986541,27,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2632,1,1,1,1,0,173914.52,27,0,0,0,1,1
CV3007,UTR218242398173,3436.0,27519.04,24083.04,7.009034,0.875141,15,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1951,1,1,1,1,0,24083.04,15,0,0,0,1,1
CV3007,UTR828067113431,3436.0,20902.0,17466.0,5.083236,0.835614,27,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2857,1,1,1,1,0,17466.0,27,0,0,0,1,1
CV3007,UTR112790183691,3436.0,2354.87,1081.13,0.314648,0.314648,1,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1,1,1,1,1,0,1081.13,1,0,0,0,1,1
CV3007,UTR164339399508,3436.0,46728.71,43292.71,12.599741,0.926469,13,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.25,1,1,1,1,0,43292.71,13,0,0,0,1,1
CV3007,UTR897413148929,3436.0,30980.83,27544.83,8.01654,0.889093,28,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0976,1,1,1,1,0,27544.83,28,0,0,0,1,1
CV3007,UTR251113786540,3436.0,35331.52,31895.52,9.282747,0.90275,1,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1429,1,1,1,1,0,31895.52,1,0,0,0,1,1
CV3007,UTR668163047993,3436.0,-8685.7,12121.7,3.527852,1.395593,13,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2162,1,1,1,1,0,12121.7,13,0,0,0,1,1
CV3007,UTR398235977635,3436.0,41432.97,37996.97,11.05849,0.917071,17,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0952,1,1,1,1,0,37996.97,17,0,0,0,1,1
CV3007,UTR467567156492,3436.0,140842.09,137406.09,39.990131,0.975604,1,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2609,1,1,1,1,0,137406.09,1,0,0,0,1,1
CV3007,UTR301320421069,3436.0,13333.83,9897.83,2.880626,0.74231,22,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.3415,1,1,1,1,0,9897.83,22,0,0,0,1,1
CV3007,UTR524971960828,3436.0,1484.92,1951.08,0.567835,0.567835,5,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.4186,1,1,1,1,0,1951.08,5,0,0,0,1,1
CV3007,UTR215256385481,3436.0,6873.25,3437.25,1.000364,0.500091,4,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.093,1,1,1,1,0,3437.25,4,0,0,0,1,1
CV3007,UTR550585953330,3436.0,176287.23,172851.23,50.305946,0.980509,1,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2609,1,1,1,1,0,172851.23,1,0,0,0,1,1
CV3010,UTR218242398173,15142.08,27519.04,12376.96,0.817388,0.44976,17,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2069,1,1,1,1,0,12376.96,17,0,0,0,1,1
CV3010,UTR828067113431,15142.08,20902.0,5759.92,0.380392,0.275568,29,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2373,1,1,1,1,0,5759.92,29,0,0,0,1,1
CV3010,UTR112790183691,15142.08,2354.87,12787.21,0.844482,0.844482,1,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1404,1,1,1,1,0,12787.21,1,0,0,0,1,1
CV3010,UTR164339399508,15142.08,46728.71,31586.63,2.086017,0.675958,15,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1404,1,1,1,1,0,31586.63,15,0,0,0,1,1
CV3010,UTR897413148929,15142.08,30980.83,15838.75,1.046009,0.511244,30,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2414,1,1,1,1,0,15838.75,30,0,0,0,1,1
CV3010,UTR251113786540,15142.08,35331.52,20189.44,1.333333,0.571429,1,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.5085,1,1,1,1,0,20189.44,1,0,0,0,1,1
CV3010,UTR668163047993,15142.08,-8685.7,23827.78,1.573613,1.573613,15,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1852,1,1,1,1,0,23827.78,15,0,0,0,1,1
CV3010,UTR398235977635,15142.08,41432.97,26290.89,1.73628,0.63454,19,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1695,1,1,1,1,0,26290.89,19,0,0,0,1,1
CV3010,UTR467567156492,15142.08,140842.09,125700.01,8.30137,0.892489,3,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1905,1,1,1,1,0,125700.01,3,0,0,0,1,1
CV3010,UTR301320421069,15142.08,13333.83,1808.25,0.119419,0.119419,24,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2069,1,1,1,1,0,1808.25,24,0,0,0,1,1
CV3010,UTR524971960828,15142.08,1484.92,13657.16,0.901934,0.901934,3,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1,1,1,1,1,0,13657.16,3,0,0,0,1,1
CV3010,UTR215256385481,15142.08,6873.25,8268.83,0.546083,0.546083,6,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2333,1,1,1,1,0,8268.83,6,0,0,0,1,1
CV3010,UTR550585953330,15142.08,176287.23,161145.15,10.642207,0.914106,1,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1905,1,1,1,1,0,161145.15,1,0,0,0,1,1
CV3004,UTR218242398173,7938.62,27519.04,19580.42,2.466477,0.711523,9,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.25,1,1,1,1,0,19580.42,9,0,0,0,1,1
CV3004,UTR828067113431,7938.62,20902.0,12963.38,1.632951,0.620198,21,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2857,1,1,1,1,0,12963.38,21,0,0,0,1,1
CV3004,UTR112790183691,7938.62,2354.87,5583.75,0.703365,0.703365,7,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1277,1,1,1,1,0,5583.75,7,0,0,0,1,1
CV3004,UTR164339399508,7938.62,46728.71,38790.09,4.886251,0.830113,7,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2553,1,1,1,1,0,38790.09,7,0,0,0,1,1
CV3004,UTR897413148929,7938.62,30980.83,23042.21,2.902546,0.743757,22,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.375,1,1,1,1,0,23042.21,22,0,0,0,1,1
CV3004,UTR251113786540,7938.62,35331.52,27392.9,3.450587,0.775311,7,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1633,1,1,1,1,0,27392.9,7,0,0,0,1,1
CV3004,UTR668163047993,7938.62,-8685.7,16624.32,2.094107,1.913987,7,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1818,1,1,1,1,0,16624.32,7,0,0,0,1,1
CV3004,UTR398235977635,7938.62,41432.97,33494.35,4.219165,0.808398,11,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1633,1,1,1,1,0,33494.35,11,0,0,0,1,1
CV3004,UTR467567156492,7938.62,140842.09,132903.47,16.741382,0.943635,5,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2264,1,1,1,1,0,132903.47,5,0,0,0,1,1
CV3004,UTR301320421069,7938.62,13333.83,5395.21,0.679616,0.404626,16,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.25,1,1,1,1,0,5395.21,16,0,0,0,1,1
CV3004,UTR524971960828,7938.62,1484.92,6453.7,0.81295,0.81295,11,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2,1,1,1,1,0,6453.7,11,0,0,0,1,1
CV3004,UTR215256385481,7938.62,6873.25,1065.37,0.134201,0.134201,2,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.28,1,1,1,1,0,1065.37,2,0,0,0,1,1
CV3004,UTR550585953330,7938.62,176287.23,168348.61,21.206281,0.954968,7,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2264,1,1,1,1,0,168348.61,7,0,0,0,1,1
CV3005,UTR218242398173,2449.93,27519.04,25069.11,10.232582,0.910973,22,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2128,1,1,1,1,0,25069.11,22,0,0,0,1,1
CV3005,UTR828067113431,2449.93,20902.0,18452.07,7.531672,0.88279,34,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.3333,1,1,1,1,0,18452.07,34,0,0,0,1,1
CV3005,UTR112790183691,2449.93,2354.87,95.06,0.038801,0.038801,6,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2609,1,1,1,1,0,95.06,6,0,0,0,1,1
CV3005,UTR164339399508,2449.93,46728.71,44278.78,18.073488,0.947571,20,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.3043,1,1,1,1,0,44278.78,20,0,0,0,1,1
CV3005,UTR897413148929,2449.93,30980.83,28530.9,11.645598,0.920921,35,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.3404,1,1,1,1,0,28530.9,35,0,0,0,1,1
CV3005,UTR251113786540,2449.93,35331.52,32881.59,13.421441,0.930659,6,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2083,1,1,1,1,0,32881.59,6,0,0,0,1,1
CV3005,UTR668163047993,2449.93,-8685.7,11135.63,4.545285,1.282065,20,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2791,1,1,1,1,0,11135.63,20,0,0,0,1,1
CV3005,UTR398235977635,2449.93,41432.97,38983.04,15.9119,0.94087,24,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2083,1,1,1,1,0,38983.04,24,0,0,0,1,1
CV3005,UTR467567156492,2449.93,140842.09,138392.16,56.48821,0.982605,8,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2308,1,1,1,1,0,138392.16,8,0,0,0,1,1
CV3005,UTR301320421069,2449.93,13333.83,10883.9,4.442535,0.816262,29,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2553,1,1,1,1,0,10883.9,29,0,0,0,1,1
CV3005,UTR524971960828,2449.93,1484.92,965.01,0.393893,0.393893,2,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2041,1,1,1,1,0,965.01,2,0,0,0,1,1
CV3005,UTR215256385481,2449.93,6873.25,4423.32,1.805488,0.643556,11,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2449,1,1,1,1,0,4423.32,11,0,0,0,1,1
CV3005,UTR550585953330,2449.93,176287.23,173837.3,70.956027,0.986103,6,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2308,1,1,1,1,0,173837.3,6,0,0,0,1,1
CV3006,UTR218242398173,6684.84,27519.04,20834.2,3.116634,0.757083,8,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.3429,1,1,1,1,0,20834.2,8,0,0,0,1,1
CV3006,UTR828067113431,6684.84,20902.0,14217.16,2.126776,0.680182,4,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.4444,1,1,1,1,0,14217.16,4,0,0,0,1,1
CV3006,UTR112790183691,6684.84,2354.87,4329.97,0.64773,0.64773,24,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1765,1,1,1,1,0,4329.97,24,0,0,0,1,1
CV3006,UTR164339399508,6684.84,46728.71,40043.87,5.990251,0.856944,10,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.3529,1,1,1,1,0,40043.87,10,0,0,0,1,1
CV3006,UTR897413148929,6684.84,30980.83,24295.99,3.634491,0.784227,5,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.4,1,1,1,1,0,24295.99,5,0,0,0,1,1
CV3006,UTR251113786540,6684.84,35331.52,28646.68,4.28532,0.810797,24,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2778,1,1,1,1,0,28646.68,24,0,0,0,1,1
CV3006,UTR668163047993,6684.84,-8685.7,15370.54,2.299313,1.769637,10,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1935,1,1,1,1,0,15370.54,10,0,0,0,1,1
CV3006,UTR398235977635,6684.84,41432.97,34748.13,5.19805,0.838659,6,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.3333,1,1,1,1,0,34748.13,6,0,0,0,1,1
CV3006,UTR467567156492,6684.84,140842.09,134157.25,20.06888,0.952537,22,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.3,1,1,1,1,0,134157.25,22,0,0,0,1,1
CV3006,UTR301320421069,6684.84,13333.83,6648.99,0.994637,0.498656,1,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2286,1,1,1,1,0,6648.99,1,0,0,0,1,1
CV3006,UTR524971960828,6684.84,1484.92,5199.92,0.777868,0.777868,28,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.4324,1,1,1,1,0,5199.92,28,0,0,0,1,1
CV3006,UTR215256385481,6684.84,6873.25,188.41,0.028185,0.027412,19,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.3784,1,1,1,1,0,188.41,19,0,0,0,1,1
CV3006,UTR550585953330,6684.84,176287.23,169602.39,25.371197,0.96208,24,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.3,1,1,1,1,0,169602.39,24,0,0,0,1,1
CV3009,UTR218242398173,6525.98,27519.04,20993.06,3.216844,0.762856,16,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1622,1,1,1,1,0,20993.06,16,0,0,0,1,1
CV3009,UTR828067113431,6525.98,20902.0,14376.02,2.202891,0.687782,28,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2632,1,1,1,1,0,14376.02,28,0,0,0,1,1
CV3009,UTR112790183691,6525.98,2354.87,4171.11,0.639155,0.639155,0,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2778,1,1,1,1,0,4171.11,0,0,0,0,1,1
CV3009,UTR164339399508,6525.98,46728.71,40202.73,6.160413,0.860343,14,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1667,1,1,1,1,0,40202.73,14,0,0,0,1,1
CV3009,UTR897413148929,6525.98,30980.83,24454.85,3.747307,0.789354,29,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1622,1,1,1,1,0,24454.85,29,0,0,0,1,1
CV3009,UTR251113786540,6525.98,35331.52,28805.54,4.413979,0.815293,0,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1579,1,1,1,1,0,28805.54,0,0,0,0,1,1
CV3009,UTR668163047993,6525.98,-8685.7,15211.68,2.330942,1.751348,14,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1818,1,1,1,1,0,15211.68,14,0,0,0,1,1
CV3009,UTR398235977635,6525.98,41432.97,34906.99,5.348927,0.842493,18,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.1053,1,1,1,1,0,34906.99,18,0,0,0,1,1
CV3009,UTR467567156492,6525.98,140842.09,134316.11,20.581753,0.953665,2,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.3333,1,1,1,1,0,134316.11,2,0,0,0,1,1
CV3009,UTR301320421069,6525.98,13333.83,6807.85,1.043192,0.51057,23,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.2703,1,1,1,1,0,6807.85,23,0,0,0,1,1
