settlement_id,bank_transaction_id,stage,decision,confidence,reason,status
setl_0065,bank_0065,exact,match,1.0,Exact deterministic match.,matched
setl_0067,bank_0067,exact,match,1.0,Exact deterministic match.,matched
setl_0068,bank_0068,exact,match,1.0,Exact deterministic match.,matched
setl_0069,bank_0069,exact,match,1.0,Exact deterministic match.,matched
setl_0070,bank_0070,exact,match,1.0,Exact deterministic match.,matched
setl_0071,bank_0071,exact,match,1.0,Exact deterministic match.,matched
setl_0072,bank_0072,exact,match,1.0,Exact deterministic match.,matched
setl_0073,bank_0073,exact,match,1.0,Exact deterministic match.,matched
setl_0074,bank_0074,exact,match,1.0,Exact deterministic match.,matched
setl_0075,bank_0075,exact,match,1.0,Exact deterministic match.,matched
setl_0076,bank_0076,exact,match,1.0,Exact deterministic match.,matched
setl_0077,bank_0077,exact,match,1.0,Exact deterministic match.,matched
setl_0080,bank_0080,exact,match,1.0,Exact deterministic match.,matched
setl_0081,bank_0081,exact,match,1.0,Exact deterministic match.,matched
setl_0083,bank_0083,exact,match,1.0,Exact deterministic match.,matched
setl_0084,bank_0084,exact,match,1.0,Exact deterministic match.,matched
setl_0085,bank_0085,exact,match,1.0,Exact deterministic match.,matched
setl_0086,bank_0086,exact,match,1.0,Exact deterministic match.,matched
setl_0088,bank_0088,exact,match,1.0,Exact deterministic match.,matched
setl_0089,bank_0089,exact,match,1.0,Exact deterministic match.,matched
setl_0091,bank_0091,exact,match,1.0,Exact deterministic match.,matched
setl_0092,bank_0092,exact,match,1.0,Exact deterministic match.,matched
setl_0093,bank_0093,exact,match,1.0,Exact deterministic match.,matched
setl_0094,bank_0094,exact,match,1.0,Exact deterministic match.,matched
setl_0096,bank_0096,exact,match,1.0,Exact deterministic match.,matched
setl_0097,bank_0097,exact,match,1.0,Exact deterministic match.,matched
setl_0098,bank_0098,exact,match,1.0,Exact deterministic match.,matched
setl_0099,bank_0099,exact,match,1.0,Exact deterministic match.,matched
setl_0100,bank_0100,exact,match,1.0,Exact deterministic match.,matched
setl_0102,bank_0102,exact,match,1.0,Exact deterministic match.,matched
setl_0103,bank_0103,exact,match,1.0,Exact deterministic match.,matched
setl_0104,bank_0104,exact,match,1.0,Exact deterministic match.,matched
setl_0105,bank_0105,exact,match,1.0,Exact deterministic match.,matched
setl_0106,bank_0106,exact,match,1.0,Exact deterministic match.,matched
setl_0107,bank_0107,exact,match,1.0,Exact deterministic match.,matched
setl_0108,bank_0108,exact,match,1.0,Exact deterministic match.,matched
setl_0110,bank_0110,exact,match,1.0,Exact deterministic match.,matched
setl_0111,bank_0111,exact,match,1.0,Exact deterministic match.,matched
setl_0113,bank_0113,exact,match,1.0,Exact deterministic match.,matched
setl_0114,bank_0114,exact,match,1.0,Exact deterministic match.,matched
setl_0115,bank_0115,exact,match,1.0,Exact deterministic match.,matched
setl_0116,bank_0116,exact,match,1.0,Exact deterministic match.,matched
setl_0117,bank_0117,exact,match,1.0,Exact deterministic match.,matched
setl_0119,bank_0119,exact,match,1.0,Exact deterministic match.,matched
setl_0120,bank_0120,exact,match,1.0,Exact deterministic match.,matched
setl_0121,bank_0121,exact,match,1.0,Exact deterministic match.,matched
setl_0122,bank_0122,exact,match,1.0,Exact deterministic match.,matched
setl_0124,bank_0124,exact,match,1.0,Exact deterministic match.,matched
setl_0125,bank_0125,exact,match,1.0,Exact deterministic match.,matched
setl_0126,bank_0126,exact,match,1.0,Exact deterministic match.,matched
setl_0127,bank_0127,exact,match,1.0,Exact deterministic match.,matched
setl_0128,bank_0128,exact,match,1.0,Exact deterministic match.,matched
setl_0129,bank_0129,exact,match,1.0,Exact deterministic match.,matched
setl_0130,bank_0130,exact,match,1.0,Exact deterministic match.,matched
setl_0131,bank_0131,exact,match,1.0,Exact deterministic match.,matched
setl_0132,bank_0132,exact,match,1.0,Exact deterministic match.,matched
setl_0133,bank_0133,exact,match,1.0,Exact deterministic match.,matched
setl_0134,bank_0134,exact,match,1.0,Exact deterministic match.,matched
setl_0135,bank_0135,exact,match,1.0,Exact deterministic match.,matched
setl_0138,bank_0138,exact,match,1.0,Exact deterministic match.,matched
setl_0139,bank_0139,exact,match,1.0,Exact deterministic match.,matched
setl_0141,bank_0141,exact,match,1.0,Exact deterministic match.,matched
setl_0142,bank_0142,exact,match,1.0,Exact deterministic match.,matched
setl_0143,bank_0143,exact,match,1.0,Exact deterministic match.,matched
setl_0144,bank_0144,exact,match,1.0,Exact deterministic match.,matched
setl_0147,bank_0147,exact,match,1.0,Exact deterministic match.,matched
setl_0148,bank_0148,exact,match,1.0,Exact deterministic match.,matched
setl_0151,bank_0151,exact,match,1.0,Exact deterministic match.,matched
setl_0152,bank_0152,exact,match,1.0,Exact deterministic match.,matched
setl_0153,bank_0153,exact,match,1.0,Exact deterministic match.,matched
setl_0154,bank_0154,exact,match,1.0,Exact deterministic match.,matched
setl_0156,bank_0156,exact,match,1.0,Exact deterministic match.,matched
setl_0157,bank_0157,exact,match,1.0,Exact deterministic match.,matched
setl_0160,bank_0160,exact,match,1.0,Exact deterministic match.,matched
setl_0161,bank_0161,exact,match,1.0,Exact deterministic match.,matched
setl_0162,bank_0162,exact,match,1.0,Exact deterministic match.,matched
setl_0163,bank_0163,exact,match,1.0,Exact deterministic match.,matched
setl_0164,bank_0164,exact,match,1.0,Exact deterministic match.,matched
setl_0165,bank_0165,exact,match,1.0,Exact deterministic match.,matched
setl_0166,bank_0166,exact,match,1.0,Exact deterministic match.,matched
setl_0167,bank_0167,exact,match,1.0,Exact deterministic match.,matched
setl_0168,bank_0168,exact,match,1.0,Exact deterministic match.,matched
setl_0169,bank_0169,exact,match,1.0,Exact deterministic match.,matched
setl_0170,bank_0170,exact,match,1.0,Exact deterministic match.,matched
setl_0171,bank_0171,exact,match,1.0,Exact deterministic match.,matched
setl_0172,bank_0172,exact,match,1.0,Exact deterministic match.,matched
setl_0173,bank_0173,exact,match,1.0,Exact deterministic match.,matched
setl_0176,bank_0176,exact,match,1.0,Exact deterministic match.,matched
setl_0177,bank_0177,exact,match,1.0,Exact deterministic match.,matched
setl_0179,bank_0179,exact,match,1.0,Exact deterministic match.,matched
setl_0181,bank_0181,exact,match,1.0,Exact deterministic match.,matched
setl_0182,bank_0182,exact,match,1.0,Exact deterministic match.,matched
setl_0183,bank_0183,exact,match,1.0,Exact deterministic match.,matched
setl_0184,bank_0184,exact,match,1.0,Exact deterministic match.,matched
setl_0186,bank_0186,exact,match,1.0,Exact deterministic match.,matched
setl_0188,bank_0188,exact,match,1.0,Exact deterministic match.,matched
setl_0189,bank_0189,exact,match,1.0,Exact deterministic match.,matched
setl_0190,bank_0190,exact,match,1.0,Exact deterministic match.,matched
setl_0192,bank_0192,exact,match,1.0,Exact deterministic match.,matched
setl_0193,bank_0193,exact,match,1.0,Exact deterministic match.,matched
setl_0194,bank_0194,exact,match,1.0,Exact deterministic match.,matched
setl_0195,bank_0195,exact,match,1.0,Exact deterministic match.,matched
setl_0197,bank_0197,exact,match,1.0,Exact deterministic match.,matched
setl_0198,bank_0198,exact,match,1.0,Exact deterministic match.,matched
setl_0199,bank_0199,exact,match,1.0,Exact deterministic match.,matched
setl_0200,bank_0200,exact,match,1.0,Exact deterministic match.,matched
setl_0201,bank_0201,exact,match,1.0,Exact deterministic match.,matched
setl_0202,bank_0202,exact,match,1.0,Exact deterministic match.,matched
setl_0203,bank_0203,exact,match,1.0,Exact deterministic match.,matched
setl_0204,bank_0204,exact,match,1.0,Exact deterministic match.,matched
setl_0205,bank_0205,exact,match,1.0,Exact deterministic match.,matched
setl_0206,bank_0206,exact,match,1.0,Exact deterministic match.,matched
setl_0207,bank_0207,exact,match,1.0,Exact deterministic match.,matched
setl_0208,bank_0208,exact,match,1.0,Exact deterministic match.,matched
setl_0209,bank_0209,exact,match,1.0,Exact deterministic match.,matched
setl_0210,bank_0210,exact,match,1.0,Exact deterministic match.,matched
setl_0211,bank_0211,exact,match,1.0,Exact deterministic match.,matched
setl_0212,bank_0212,exact,match,1.0,Exact deterministic match.,matched
setl_0213,bank_0213,exact,match,1.0,Exact deterministic match.,matched
setl_0214,bank_0214,exact,match,1.0,Exact deterministic match.,matched
setl_0215,bank_0215,exact,match,1.0,Exact deterministic match.,matched
setl_0216,bank_0216,exact,match,1.0,Exact deterministic match.,matched
setl_0217,bank_0217,exact,match,1.0,Exact deterministic match.,matched
setl_0219,bank_0219,exact,match,1.0,Exact deterministic match.,matched
setl_0011,bank_0011,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0011,bank_split_0003,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0044,bank_0044,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0044,bank_split_0008,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0051,bank_0051,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0051,bank_split_0005,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0087,bank_0087,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0087,bank_split_0001,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0109,bank_0109,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0109,bank_split_0002,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0140,bank_0140,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0140,bank_split_0006,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0155,bank_0155,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0155,bank_split_0004,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0180,bank_0180,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0180,bank_split_0007,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0187,bank_0187,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0187,bank_split_0010,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0191,bank_0191,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0191,bank_split_0009,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0220,bank_0220,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0220,bank_split_0011,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0006,bank_0006,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0016,bank_0016,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0021,bank_0021,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0027,bank_0027,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0028,bank_0028,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0042,bank_0042,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0047,bank_0047,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0052,bank_0052,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0054,bank_0054,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0066,bank_0066,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0078,bank_0078,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0079,bank_0079,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0082,bank_0082,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0090,bank_0090,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0095,bank_0095,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0101,bank_0101,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0112,bank_0112,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0118,bank_0118,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0123,bank_0123,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0136,bank_0136,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0137,bank_0137,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0145,bank_0145,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0146,bank_0146,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0149,bank_0149,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0150,bank_0150,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0158,bank_0158,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0159,bank_0159,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0174,bank_0174,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0175,bank_0175,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0178,bank_0178,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0185,bank_0185,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0196,bank_0196,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0218,bank_0218,tolerance,match,1.0,Tolerance-stage match.,matched
setl_0022,bank_0022,llm,match,0.85,"Both records reference the same UTR in the description, and the amounts are within a small discrepancy likely due to fees, with dates one day apart.",matched
setl_orphan_0001,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review
setl_orphan_0002,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review
setl_orphan_0003,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review
setl_orphan_0004,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review
setl_orphan_0005,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review
setl_orphan_0006,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review
