settlement_id,bank_transaction_id,stage,decision,confidence,reason,status,amount,date
ORD10041,CV1041,exact,match,1.0,Exact deterministic match.,matched,26027.13,2026-07-04
ORD10042,CV1042,exact,match,1.0,Exact deterministic match.,matched,37749.65,2026-06-10
ORD10049,CV1049,exact,match,1.0,Exact deterministic match.,matched,32191.97,2026-06-10
ORD10002,UPI2026067837935886,exact,match,1.0,Exact deterministic match.,matched,44165.7,2026-06-14
ORD10006,UPI2026060655016296,exact,match,1.0,Exact deterministic match.,matched,31167.49,2026-06-24
ORD10013,UPI2026069503644041,exact,match,1.0,Exact deterministic match.,matched,15360.46,2026-07-07
ORD10012,UPI2026060165911072,exact,match,1.0,Exact deterministic match.,matched,3799.69,2026-06-06
ORD10017,UPI2026070011852706,exact,match,1.0,Exact deterministic match.,matched,33270.39,2026-06-25
ORD10011,UPI2026073062911825,exact,match,1.0,Exact deterministic match.,matched,42522.81,2026-06-21
ORD10007,UPI2026065088385884,exact,match,1.0,Exact deterministic match.,matched,24327.39,2026-07-05
ORD10001,UPI2026064130181318,exact,match,1.0,Exact deterministic match.,matched,16043.3,2026-06-10
ORD10016,UPI2026070815950167,exact,match,1.0,Exact deterministic match.,matched,19778.33,2026-06-18
ORD10010,UPI2026070837798772,exact,match,1.0,Exact deterministic match.,matched,16918.02,2026-07-02
ORD10015,UPI2026072207169822,exact,match,1.0,Exact deterministic match.,matched,6707.46,2026-06-16
ORD10018,UPI2026061571905175,exact,match,1.0,Exact deterministic match.,matched,1078.04,2026-07-08
ORD10014,UPI2026068409227733,exact,match,1.0,Exact deterministic match.,matched,45651.07,2026-06-23
ORD10009,UPI2026063362020162,exact,match,1.0,Exact deterministic match.,matched,42506.47,2026-06-29
ORD10003,UPI2026063777474002,exact,match,1.0,Exact deterministic match.,matched,20876.35,2026-07-07
ORD10008,UPI2026070029931756,exact,match,1.0,Exact deterministic match.,matched,14888.12,2026-06-12
ORD10004,UPI2026063805590276,exact,match,1.0,Exact deterministic match.,matched,28605.57,2026-06-04
ORD10005,UPI2026066770359601,exact,match,1.0,Exact deterministic match.,matched,26452.46,2026-07-07
ORD10002,UPI2026067837935886,exact,match,1.0,Exact deterministic match.,matched,44165.7,2026-06-14
ORD10006,UPI2026060655016296,exact,match,1.0,Exact deterministic match.,matched,31167.49,2026-06-24
ORD10013,UPI2026069503644041,exact,match,1.0,Exact deterministic match.,matched,15360.46,2026-07-07
ORD10038,UTR130971191036,exact,match,1.0,Exact deterministic match.,matched,36475.57,2026-06-09
ORD10033,UTR885044013168,exact,match,1.0,Exact deterministic match.,matched,4568.45,2026-07-13
ORD10035,UTR241704338575,exact,match,1.0,Exact deterministic match.,matched,19765.97,2026-06-06
ORD10032,UTR821164519235,exact,match,1.0,Exact deterministic match.,matched,23666.84,2026-07-10
ORD10037,UTR898738891307,exact,match,1.0,Exact deterministic match.,matched,26835.23,2026-06-09
ORD10040,UTR561780971572,exact,match,1.0,Exact deterministic match.,matched,43589.69,2026-07-13
ORD10039,UTR164987466619,exact,match,1.0,Exact deterministic match.,matched,24555.27,2026-07-08
ORD10034,UTR980840883459,exact,match,1.0,Exact deterministic match.,matched,43172.42,2026-06-28
ORD10036,UTR823591853229,exact,match,1.0,Exact deterministic match.,matched,43932.81,2026-07-12
UPI2026069052794342,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026068409227733,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026070837798772,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026067837935886,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026072920096425,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026070815950167,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026072207169822,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026064317150806,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026070011852706,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026067370028956,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026063805590276,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026061571905175,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026063362020162,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026066770359601,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026070029931756,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026063777474002,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026069503644041,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026073062911825,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026064130181318,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026060655016296,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026060165911072,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026065088385884,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
CV1042,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
CV1049,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
CV1041,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
CV2004,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
CV1050,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
CV1048,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
CV1043,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
CV1044,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
CV2005,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
CV2001,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
CV2002,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
CV2003,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
CV1045,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
CV1046,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
CV1047,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
CV2006,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026069052794342,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026068409227733,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026070837798772,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026067837935886,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026072920096425,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026070815950167,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026072207169822,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026064317150806,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026070011852706,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026067370028956,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026063805590276,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026061571905175,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026063362020162,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026066770359601,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026070029931756,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026063777474002,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026069503644041,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026073062911825,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026064130181318,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026060655016296,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026060165911072,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
UPI2026065088385884,,reconciler,review,0.0,No deterministic or ML candidate resolved this settlement.,manual_review,,
