order_id,payment_id,settlement_id,bank_transaction_id,relationship_type,is_match
order_0039,pay_0039,setl_0039,bank_0039,exact,True
order_0040,pay_0040,setl_0040,bank_0040,exact,True
order_0041,pay_0041,setl_0041,bank_0041,exact,True
order_0042,pay_0042,setl_0042,bank_0042,missing_utr,True
order_0043,pay_0043,setl_0043,bank_0043,exact,True
order_0044,pay_0044,setl_0044,bank_0044,split_settlement,True
order_0045,pay_0045,setl_0045,bank_0045,date_offset,True
order_0046,pay_0046,setl_0046,bank_0046,date_offset,True
order_0047,pay_0047,setl_0047,bank_0047,rounding_drift,True
order_0048,pay_0048,setl_0048,bank_0048,date_offset,True
order_0049,pay_0049,setl_0049,bank_0049,exact,True
order_0050,pay_0050,setl_0050,bank_0050,exact,True
order_0051,pay_0051,setl_0051,bank_0051,split_settlement,True
order_0052,pay_0052,setl_0052,bank_0052,rounding_drift,True
order_0053,pay_0053,setl_0053,bank_0053,exact,True
order_0054,pay_0054,setl_0054,bank_0054,rounding_drift,True
order_0055,pay_0055,setl_0055,bank_0055,garbled_narration,True
order_0056,pay_0056,setl_0056,bank_0056,partial_refund,True
order_0057,pay_0057,setl_0057,bank_0057,exact,True
order_0058,pay_0058,setl_0058,bank_0058,exact,True
order_0059,pay_0059,setl_0059,bank_0059,exact,True
order_0060,pay_0060,setl_0060,bank_0060,exact,True
order_0061,pay_0061,setl_0061,bank_0061,exact,True
order_0062,pay_0062,setl_0062,bank_0062,exact,True
order_0063,pay_0063,setl_0063,bank_0063,exact,True
order_0064,pay_0064,setl_0064,bank_0064,exact,True
order_0065,pay_0065,setl_0065,bank_0065,exact,True
order_0066,pay_0066,setl_0066,bank_0066,rounding_drift,True
order_0067,pay_0067,setl_0067,bank_0067,garbled_narration,True
order_0068,pay_0068,setl_0068,bank_0068,exact,True
order_0069,pay_0069,setl_0069,bank_0069,exact,True
order_0070,pay_0070,setl_0070,bank_0070,exact,True
order_0071,pay_0071,setl_0071,bank_0071,exact,True
order_0072,pay_0072,setl_0072,bank_0072,date_offset,True
order_0073,pay_0073,setl_0073,bank_0073,exact,True
order_0074,pay_0074,setl_0074,bank_0074,exact,True
order_0075,pay_0075,setl_0075,bank_0075,exact,True
order_0076,pay_0076,setl_0076,bank_0076,exact,True
order_0077,pay_0077,setl_0077,bank_0077,exact,True
order_0078,pay_0078,setl_0078,bank_0078,rounding_drift,True
order_0079,pay_0079,setl_0079,bank_0079,rounding_drift,True
order_0080,pay_0080,setl_0080,bank_0080,exact,True
order_0081,pay_0081,setl_0081,bank_0081,exact,True
order_0082,pay_0082,setl_0082,bank_0082,rounding_drift,True
order_0083,pay_0083,setl_0083,bank_0083,exact,True
order_0084,pay_0084,setl_0084,bank_0084,exact,True
order_0085,pay_0085,setl_0085,bank_0085,exact,True
order_0086,pay_0086,setl_0086,bank_0086,exact,True
order_0087,pay_0087,setl_0087,bank_0087,split_settlement,True
order_0088,pay_0088,setl_0088,bank_0088,exact,True
order_0089,pay_0089,setl_0089,bank_0089,exact,True
order_0090,pay_0090,setl_0090,bank_0090,rounding_drift,True
order_0091,pay_0091,setl_0091,bank_0091,exact,True
order_0092,pay_0092,setl_0092,bank_0092,garbled_narration,True
order_0093,pay_0093,setl_0093,bank_0093,exact,True
order_0094,pay_0094,setl_0094,bank_0094,garbled_narration,True
order_0095,pay_0095,setl_0095,bank_0095,missing_utr,True
order_0096,pay_0096,setl_0096,bank_0096,exact,True
order_0097,pay_0097,setl_0097,bank_0097,exact,True
order_0098,pay_0098,setl_0098,bank_0098,date_offset,True
order_0099,pay_0099,setl_0099,bank_0099,exact,True
order_0100,pay_0100,setl_0100,bank_0100,garbled_narration,True
order_0101,pay_0101,setl_0101,bank_0101,rounding_drift,True
order_0102,pay_0102,setl_0102,bank_0102,exact,True
order_0103,pay_0103,setl_0103,bank_0103,date_offset,True
order_0104,pay_0104,setl_0104,bank_0104,exact,True
order_0105,pay_0105,setl_0105,bank_0105,exact,True
order_0106,pay_0106,setl_0106,bank_0106,exact,True
order_0107,pay_0107,setl_0107,bank_0107,exact,True
order_0108,pay_0108,setl_0108,bank_0108,exact,True
order_0109,pay_0109,setl_0109,bank_0109,split_settlement,True
order_0110,pay_0110,setl_0110,bank_0110,garbled_narration,True
order_0111,pay_0111,setl_0111,bank_0111,date_offset,True
order_0112,pay_0112,setl_0112,bank_0112,rounding_drift,True
order_0113,pay_0113,setl_0113,bank_0113,exact,True
order_0114,pay_0114,setl_0114,bank_0114,exact,True
order_0115,pay_0115,setl_0115,bank_0115,exact,True
order_0116,pay_0116,setl_0116,bank_0116,exact,True
order_0117,pay_0117,setl_0117,bank_0117,exact,True
order_0118,pay_0118,setl_0118,bank_0118,rounding_drift,True
order_0119,pay_0119,setl_0119,bank_0119,exact,True
order_0120,pay_0120,setl_0120,bank_0120,date_offset,True
order_0121,pay_0121,setl_0121,bank_0121,exact,True
order_0122,pay_0122,setl_0122,bank_0122,garbled_narration,True
order_0123,pay_0123,setl_0123,bank_0123,missing_utr,True
order_0124,pay_0124,setl_0124,bank_0124,exact,True
order_0125,pay_0125,setl_0125,bank_0125,exact,True
order_0126,pay_0126,setl_0126,bank_0126,exact,True
order_0127,pay_0127,setl_0127,bank_0127,partial_refund,True
order_0128,pay_0128,setl_0128,bank_0128,exact,True
order_0129,pay_0129,setl_0129,bank_0129,exact,True
order_0130,pay_0130,setl_0130,bank_0130,exact,True
order_0131,pay_0131,setl_0131,bank_0131,exact,True
order_0132,pay_0132,setl_0132,bank_0132,exact,True
order_0133,pay_0133,setl_0133,bank_0133,exact,True
order_0134,pay_0134,setl_0134,bank_0134,date_offset,True
order_0135,pay_0135,setl_0135,bank_0135,exact,True
order_0136,pay_0136,setl_0136,bank_0136,missing_utr,True
order_0137,pay_0137,setl_0137,bank_0137,rounding_drift,True
order_0138,pay_0138,setl_0138,bank_0138,exact,True
order_0139,pay_0139,setl_0139,bank_0139,exact,True
order_0140,pay_0140,setl_0140,bank_0140,split_settlement,True
order_0141,pay_0141,setl_0141,bank_0141,exact,True
order_0142,pay_0142,setl_0142,bank_0142,exact,True
order_0143,pay_0143,setl_0143,bank_0143,date_offset,True
order_0144,pay_0144,setl_0144,bank_0144,garbled_narration,True
order_0145,pay_0145,setl_0145,bank_0145,missing_utr,True
order_0146,pay_0146,setl_0146,bank_0146,rounding_drift,True
order_0147,pay_0147,setl_0147,bank_0147,partial_refund,True
order_0148,pay_0148,setl_0148,bank_0148,garbled_narration,True
order_0149,pay_0149,setl_0149,bank_0149,rounding_drift,True
order_0150,pay_0150,setl_0150,bank_0150,missing_utr,True
order_0151,pay_0151,setl_0151,bank_0151,date_offset,True
order_0152,pay_0152,setl_0152,bank_0152,date_offset,True
order_0153,pay_0153,setl_0153,bank_0153,date_offset,True
order_0154,pay_0154,setl_0154,bank_0154,exact,True
order_0155,pay_0155,setl_0155,bank_0155,split_settlement,True
order_0156,pay_0156,setl_0156,bank_0156,exact,True
order_0157,pay_0157,setl_0157,bank_0157,exact,True
order_0158,pay_0158,setl_0158,bank_0158,missing_utr,True
order_0159,pay_0159,setl_0159,bank_0159,missing_utr,True
order_0160,pay_0160,setl_0160,bank_0160,exact,True
order_0161,pay_0161,setl_0161,bank_0161,exact,True
order_0162,pay_0162,setl_0162,bank_0162,exact,True
order_0163,pay_0163,setl_0163,bank_0163,exact,True
order_0164,pay_0164,setl_0164,bank_0164,exact,True
order_0165,pay_0165,setl_0165,bank_0165,partial_refund,True
order_0166,pay_0166,setl_0166,bank_0166,exact,True
order_0167,pay_0167,setl_0167,bank_0167,garbled_narration,True
order_0168,pay_0168,setl_0168,bank_0168,partial_refund,True
order_0169,pay_0169,setl_0169,bank_0169,exact,True
order_0170,pay_0170,setl_0170,bank_0170,exact,True
order_0171,pay_0171,setl_0171,bank_0171,partial_refund,True
order_0172,pay_0172,setl_0172,bank_0172,garbled_narration,True
order_0173,pay_0173,setl_0173,bank_0173,partial_refund,True
order_0174,pay_0174,setl_0174,bank_0174,rounding_drift,True
order_0175,pay_0175,setl_0175,bank_0175,missing_utr,True
order_0176,pay_0176,setl_0176,bank_0176,date_offset,True
order_0177,pay_0177,setl_0177,bank_0177,exact,True
order_0178,pay_0178,setl_0178,bank_0178,missing_utr,True
order_0179,pay_0179,setl_0179,bank_0179,exact,True
order_0180,pay_0180,setl_0180,bank_0180,split_settlement,True
order_0181,pay_0181,setl_0181,bank_0181,exact,True
order_0182,pay_0182,setl_0182,bank_0182,exact,True
order_0183,pay_0183,setl_0183,bank_0183,exact,True
order_0184,pay_0184,setl_0184,bank_0184,partial_refund,True
order_0185,pay_0185,setl_0185,bank_0185,missing_utr,True
order_0186,pay_0186,setl_0186,bank_0186,garbled_narration,True
order_0187,pay_0187,setl_0187,bank_0187,split_settlement,True
order_0188,pay_0188,setl_0188,bank_0188,exact,True
order_0189,pay_0189,setl_0189,bank_0189,partial_refund,True
order_0190,pay_0190,setl_0190,bank_0190,date_offset,True
order_0191,pay_0191,setl_0191,bank_0191,split_settlement,True
order_0192,pay_0192,setl_0192,bank_0192,exact,True
order_0193,pay_0193,setl_0193,bank_0193,exact,True
order_0194,pay_0194,setl_0194,bank_0194,exact,True
order_0195,pay_0195,setl_0195,bank_0195,exact,True
order_0196,pay_0196,setl_0196,bank_0196,rounding_drift,True
order_0197,pay_0197,setl_0197,bank_0197,garbled_narration,True
order_0198,pay_0198,setl_0198,bank_0198,exact,True
order_0199,pay_0199,setl_0199,bank_0199,exact,True
order_0200,pay_0200,setl_0200,bank_0200,exact,True
order_0201,pay_0201,setl_0201,bank_0201,exact,True
order_0202,pay_0202,setl_0202,bank_0202,exact,True
order_0203,pay_0203,setl_0203,bank_0203,exact,True
order_0204,pay_0204,setl_0204,bank_0204,exact,True
order_0205,pay_0205,setl_0205,bank_0205,exact,True
order_0206,pay_0206,setl_0206,bank_0206,exact,True
order_0207,pay_0207,setl_0207,bank_0207,exact,True
order_0208,pay_0208,setl_0208,bank_0208,garbled_narration,True
order_0209,pay_0209,setl_0209,bank_0209,garbled_narration,True
order_0210,pay_0210,setl_0210,bank_0210,exact,True
order_0211,pay_0211,setl_0211,bank_0211,date_offset,True
order_0212,pay_0212,setl_0212,bank_0212,exact,True
order_0213,pay_0213,setl_0213,bank_0213,partial_refund,True
order_0214,pay_0214,setl_0214,bank_0214,exact,True
order_0215,pay_0215,setl_0215,bank_0215,exact,True
order_0216,pay_0216,setl_0216,bank_0216,exact,True
order_0217,pay_0217,setl_0217,bank_0217,partial_refund,True
order_0218,pay_0218,setl_0218,bank_0218,missing_utr,True
order_0219,pay_0219,setl_0219,bank_0219,exact,True
order_0220,pay_0220,setl_0220,bank_0220,split_settlement,True
order_0087,pay_0087,setl_0087,bank_split_0001,split_settlement,True
order_0109,pay_0109,setl_0109,bank_split_0002,split_settlement,True
order_0011,pay_0011,setl_0011,bank_split_0003,split_settlement,True
order_0155,pay_0155,setl_0155,bank_split_0004,split_settlement,True
order_0051,pay_0051,setl_0051,bank_split_0005,split_settlement,True
order_0140,pay_0140,setl_0140,bank_split_0006,split_settlement,True
order_0180,pay_0180,setl_0180,bank_split_0007,split_settlement,True
order_0044,pay_0044,setl_0044,bank_split_0008,split_settlement,True
order_0191,pay_0191,setl_0191,bank_split_0009,split_settlement,True
order_0187,pay_0187,setl_0187,bank_split_0010,split_settlement,True
order_0220,pay_0220,setl_0220,bank_split_0011,split_settlement,True
,,,bank_orphan_dup_0001,near_duplicate_orphan,False
,,,bank_orphan_dup_0002,near_duplicate_orphan,False
,,,bank_orphan_dup_0003,near_duplicate_orphan,False
,,,bank_orphan_dup_0004,near_duplicate_orphan,False
,,,bank_orphan_dup_0005,near_duplicate_orphan,False
,,,bank_orphan_dup_0006,near_duplicate_orphan,False
,,,bank_orphan_0001,orphan_bank,False
,,,bank_orphan_0002,orphan_bank,False
,,,bank_orphan_0003,orphan_bank,False
,,,bank_orphan_0004,orphan_bank,False
,,,bank_orphan_0005,orphan_bank,False
,,,bank_orphan_0006,orphan_bank,False
order_orphan_0001,pay_orphan_0001,setl_orphan_0001,,orphan_settlement,False
order_orphan_0002,pay_orphan_0002,setl_orphan_0002,,orphan_settlement,False
order_orphan_0003,pay_orphan_0003,setl_orphan_0003,,orphan_settlement,False
order_orphan_0004,pay_orphan_0004,setl_orphan_0004,,orphan_settlement,False
order_orphan_0005,pay_orphan_0005,setl_orphan_0005,,orphan_settlement,False
order_orphan_0006,pay_orphan_0006,setl_orphan_0006,,orphan_settlement,False
